"Time / s","Pulse Generator","Iout:Measured current"
0.00033675954285077768,1.25,7.5989315888334517
0.0003368253839764823,1.25,7.6128728308562899
0.00033689122510218686,1.25,7.6280512843369763
0.00033697221110577506,1.25,7.6484062070688168
0.00033705319710936326,1.25,7.6706062713530372
0.00033713418311295151,1.25,7.6946368803085647
0.0003372151691165397,1.25,7.7204835246913746
0.0003372961551201279,1.25,7.7481317828944754
0.0003373771411237161,1.25,7.7775673209478953
0.0003374581271273043,1.25,7.8087758925186534
0.00033753911313089249,1.25,7.8417433389108169
0.00033762009913448075,1.25,7.8764555890654577
0.00033770108513806894,1.25,7.9128986595606818
0.0003377475412827356,1.25,7.9345793714576587
0.00033779399742740225,1.25,7.9568224314346025
0.00033784045357206885,1.25,7.9796252386305042
0.00033788690971673551,1.25,8.0029852012858669
0.00033793336586140216,1.25,8.0268997367426493
0.00033797982200606881,1.25,8.0513662714442518
0.00033802627815073547,1.25,8.0763822409355583
0.00033807273429540212,1.25,8.1019450898629515
0.00033811919044006872,1.25,8.1280522719742123
0.00033816564658473538,1.25,8.1547012501186629
0.00033821210272940203,1.25,8.1818894960519373
0.00033825855887406869,1.25,8.2096144907099387
0.00033830501501873529,1.25,8.2378737241444782
0.00033835147116340194,1.25,8.2666646952153258
0.0003383979273080686,1.25,8.2959849115902955
0.00033844438345273525,1.25,8.3258318897452597
0.0003384908395974019,1.25,8.3562031549640352
0.00033853729574206856,1.25,8.3870962413385115
0.00033858375188673516,1.25,8.4185086917685652
0.00033863020803140181,1.25,8.4504380579621028
0.00033869356154144132,1.25,8.4948097300923564
0.00033875691505148078,1.25,8.5401320398576104
0.00033882026856152028,1.25,8.5863988571261274
0.00033888362207155974,1.25,8.6336040810266752
0.00033894697558159925,1.25,8.6817416399484841
0.0003390103290916387,1.25,8.7308054915412612
0.00033907368260167821,1.25,8.7807896227152042
0.00033913703611171766,1.25,8.8316880496409453
0.00033920038962175717,1.25,8.8834948177496216
0.00033926374313179668,1.25,8.9362040017328184
0.00033934101360131506,1.25,9.0017048665190913
0.00033941828407083339,1.25,9.0685287526368086
0.00033949555454035178,1.25,9.1366650857966931
0.00033957282500987011,1.25,9.2061033532383192
0.00033965009547938849,1.25,9.2768331037302545
0.00033972736594890687,1.25,9.3488439475698613
0.0003398046364184252,1.25,9.4221255565834667
0.00033988190688794359,1.25,9.4966676641262922
0.00033995917735746192,1.25,9.5724600650824527
0.0003400364478269803,1.25,9.6494926158649719
0.0003400854734183443,1.25,9.6990056899120844
0.00034013449900970836,1.25,9.7490113625642465
0.00034018352460107236,1.25,9.7995070812240783
0.00034023255019243636,1.25,9.8504903028535864
0.00034028157578380042,1.25,9.9019584939741208
0.00034033060137516442,1.25,9.9539091306664886
0.00034037962696652842,1.25,10.006339698570784
0.00034042865255789242,1.25,10.059247692886544
0.00034047767814925648,1.25,10.112630618372648
0.00034052670374062048,1.25,10.16648598934735
0.00034057572933198448,1.25,10.22081132947163
